id,session_id,face_id,timestamp,bbox_x,bbox_y,bbox_width,bbox_height,eye_contact,alertness,is_smiling,is_laughing,head_pose_pitch,head_pose_yaw,head_pose_roll
96,11,0,2082388.914687583,,,,,0,0.4,0,0,-0.6666666666666667,38.6015625,0.0
97,11,1,2082388.914687583,,,,,1,0.7,1,1,-3.5,2.8828124999999996,0.0
98,11,0,2082394.032988208,,,,,0,0.4,0,0,-0.6666666666666667,38.6015625,0.0
99,11,1,2082394.032988208,,,,,1,0.7,0,0,-3.333333333333333,3.0937500000000004,0.0
100,11,0,2082399.141349083,,,,,0,0.4,0,0,-0.6666666666666667,38.6015625,0.0
101,11,1,2082399.141349083,,,,,1,0.7,0,0,-0.5833333333333334,0.9843749999999999,0.0
102,11,5,2082399.141349083,,,,,0,0.4,0,0,7.5,28.125,0.0
103,11,0,2082404.212230666,,,,,0,0.4,0,0,-0.6666666666666667,38.6015625,0.0
104,11,1,2082404.212230666,,,,,1,0.4,0,0,0.5,1.1953125,0.0
105,11,0,2082409.380046791,,,,,0,0.4,0,0,-0.6666666666666667,38.6015625,0.0
106,11,1,2082409.380046791,,,,,1,0.4,0,0,1.5833333333333333,2.7421875,0.0
107,11,0,2082414.527345291,,,,,0,0.4,0,0,-0.6666666666666667,38.6015625,0.0
108,11,0,2082419.587060416,,,,,0,0.4,0,0,-0.6666666666666667,38.6015625,0.0
109,11,1,2082419.587060416,,,,,1,0.4,0,0,1.4166666666666665,3.375,0.0
110,11,0,2082424.699968083,,,,,0,0.4,0,0,-0.75,38.6015625,0.0
111,11,10,2082424.699968083,,,,,1,0.7,0,0,-1.8333333333333333,3.7968750000000004,0.0
112,11,0,2082429.706775916,,,,,0,0.4,0,0,-0.75,38.6015625,0.0
113,11,10,2082429.706775916,,,,,1,0.4,0,0,-2.3333333333333335,1.265625,0.0
114,11,0,2082434.727638416,,,,,0,0.4,0,0,-0.75,38.6015625,0.0
115,11,10,2082434.727638416,,,,,1,0.4,0,0,-0.08333333333333334,3.65625,0.0
116,11,0,2082439.85060175,,,,,0,0.4,0,0,-0.75,38.6015625,0.0
117,11,10,2082439.85060175,,,,,1,0.4,0,0,-1.4166666666666665,3.0937500000000004,0.0
118,11,0,2082444.96347225,,,,,0,0.4,0,0,-0.75,38.6015625,0.0
119,11,10,2082444.96347225,,,,,1,0.4,0,0,0.08333333333333334,3.5859374999999996,0.0
120,11,0,2082450.0495005,,,,,0,0.4,0,0,-0.75,38.53125,0.0
121,11,0,2082455.168777916,,,,,0,0.4,0,0,-0.75,38.53125,0.0
122,11,0,2082460.222423666,,,,,0,0.4,0,0,-0.75,38.53125,0.0
123,11,13,2082460.222423666,,,,,1,0.6,1,1,-4.583333333333334,3.2343749999999996,0.0
124,11,0,2082465.258097208,,,,,0,0.4,0,0,-0.75,38.53125,0.0
125,11,13,2082465.258097208,,,,,1,0.3,0,0,-2.833333333333333,2.671875,0.0
126,11,0,2082470.346495958,,,,,0,0.4,0,0,-0.75,38.53125,0.0
127,11,13,2082470.346495958,,,,,1,0.7,0,0,-5.75,3.2343749999999996,0.0
128,11,0,2082475.431945666,,,,,0,0.4,0,0,-0.75,38.53125,0.0
129,11,13,2082475.431945666,,,,,1,0.4,0,0,-3.25,3.8671875,0.0
131,11,0,2082480.531929416,,,,,0,0.4,0,0,-0.75,38.53125,0.0
130,11,13,2082480.531929416,,,,,1,0.7,1,1,-4.416666666666667,3.2343749999999996,0.0
132,11,18,2082480.531929416,,,,,1,0.4,0,0,-1.75,-13.921875,0.0
134,11,0,2082485.609131125,,,,,0,0.4,0,0,-0.75,38.53125,0.0
133,11,13,2082485.609131125,,,,,1,1.0,1,1,-2.0,2.390625,0.0
135,11,18,2082485.609131125,,,,,1,0.4,0,0,-1.5833333333333333,-13.921875,0.0
136,11,0,2082490.634548,,,,,0,0.4,0,0,-0.75,38.53125,0.0
137,11,13,2082490.634548,,,,,1,0.4,1,1,-1.0833333333333333,2.390625,0.0
138,11,0,2082495.6961695,,,,,0,0.4,0,0,-0.75,38.53125,0.0
139,11,13,2082495.6961695,,,,,1,0.7,1,1,-1.5833333333333333,1.6875,0.0
140,11,20,2082495.6961695,,,,,1,0.4,0,0,-1.5833333333333333,-14.0625,0.0
142,11,0,2082500.76088425,,,,,0,0.4,0,0,-0.75,38.53125,0.0
141,11,13,2082500.76088425,,,,,1,0.7,1,1,-0.25,0.140625,0.0
143,11,0,2082505.842826291,,,,,0,0.4,0,0,-0.75,38.53125,0.0
144,11,13,2082505.842826291,,,,,1,0.4,0,0,-5.833333333333333,-0.84375,0.0
145,11,0,2082510.860092375,,,,,0,0.4,0,0,-0.75,38.53125,0.0
146,11,13,2082510.860092375,,,,,1,0.7,0,0,-5.333333333333334,-0.5625,0.0
